Teams,Pitchers,ML,O/U,1,2,3,4,5,6,7,8,9,R,H,E,ATS,,,
"903 

Washington
«","Gray, Josiah (R)",110,8,0,1,2,1,0,0,3,0,0,7,13,0,Cover: +110,,,
Teams,Pitchers,ML,O/U,1,2,3,4,5,6,7,8,9,R,H,E,ATS,,,
"904 

Miami","Hernandez, Elieser (R)",-130,,0,0,0,1,0,1,0,0,3,5,10,0,Over: 12,,,
Teams,Pitchers,ML,O/U,1,2,3,4,5,6,7,8,9,R,H,E,ATS,,,
"905 

St. Louis
«","Mikolas, Miles (R)",120,9,2,4,0,1,0,0,1,2,0,10,15,0,Cover: +120,,,
Teams,Pitchers,ML,O/U,1,2,3,4,5,6,7,8,9,R,H,E,ATS,,,
"906 

Milwaukee","Anderson, Brett (L)",-130,,0,0,0,0,1,0,1,0,0,2,4,2,Over: 12,,,
Teams,Pitchers,ML,O/U,1,2,3,4,5,6,7,8,9,R,H,E,ATS,,,
"907 

L.A. Dodgers","Buehler, Walker (R)",-200,10.5,0,0,0,3,2,0,0,0,0,5,7,1,Over: 15,,,
Teams,Pitchers,ML,O/U,1,2,3,4,5,6,7,8,9,R,H,E,ATS,,,
"908 

Colorado
«","Márquez, Germán (R)",180,,0,0,0,5,1,0,4,0,0,10,12,1,Cover: +180,,,
Teams,Pitchers,ML,O/U,1,2,3,4,5,6,7,8,9,R,H,E,ATS,,,
"909 

Atlanta
«","Anderson, Ian (R)",-175,9,3,0,1,0,2,0,0,0,3,9,11,0,Cover: +100,,,
Teams,Pitchers,ML,O/U,1,2,3,4,5,6,7,8,9,10,11,12,R,H,E,ATS
"910 

Arizona","Kelly, Merrill (R)",160,,1,0,0,0,0,0,0,1,0,2,6,1,Over: 11,,,
Teams,Pitchers,ML,O/U,1,2,3,4,5,6,7,8,9,R,H,E,ATS,,,
"911 

San Francisco
«","Kazmir, Scott (L)",-105,9.5,3,0,0,0,0,2,3,0,0,8,12,1,Cover: +100,,,
Teams,Pitchers,ML,O/U,1,2,3,4,5,6,7,8,9,R,H,E,ATS,,,
"912 

San Diego","Velasquez, Vince (R)",-115,,0,0,0,0,1,0,3,0,2,6,13,1,Over: 14,,,
Teams,Pitchers,ML,O/U,1,2,3,4,5,6,7,8,9,R,H,E,ATS,,,
"915 

Toronto","Merryweather, Julian (R)",100,9,0,0,0,0,0,1,0,0,0,1,4,0,Under: 8,,,
Teams,Pitchers,ML,O/U,1,2,3,4,5,6,7,8,9,R,H,E,ATS,,,
"916 

Tampa Bay
«","Patiño, Luis (R)",-110,,0,0,6,1,0,0,0,0,0,7,11,1,Cover: +100,,,
Teams,Pitchers,ML,O/U,1,2,3,4,5,6,7,8,9,R,H,E,ATS,,,
"919 

Texas","Hearn, Taylor (L)",220,9,0,1,0,1,1,0,0,0,0,3,8,1,Over: 10,,,
Teams,Pitchers,ML,O/U,1,2,3,4,5,6,7,8,9,R,H,E,ATS,,,
"920 

N.Y. Yankees
«","Kluber, Corey (R)",-270,,0,0,0,0,2,1,0,4,0,7,9,2,Cover: +100,,,
Teams,Pitchers,ML,O/U,1,2,3,4,5,6,7,8,9,R,H,E,ATS,,,
"921 

Houston
«","Garcia, Luis (R)",-200,9.5,2,0,0,0,1,0,0,2,0,0,0,4,9,12,0,Cover: +100
